id;nome;direcao;risco_id;limite_amarelo;limite_vermelho;processo_id;disciplina_id;unidade;descricao;meta;responsavel_apuracao;fonte_dado;frequencia_apuracao
KRI-01;Inadimplencia 90d PF;menor_melhor;RL-01;2.0;4.0;P.CRE.PF;DISC_CREDITO;%;Inadimplencia 90d PF;1.5;Area de RO;Sistema interno;mensal
KRI-02;Inadimplencia 90d PJ;menor_melhor;RL-01;2.5;5.0;P.CRE.PJ;DISC_CREDITO;%;Inadimplencia 90d PJ;2.0;Area de RO;Sistema interno;mensal
KRI-03;Tentativas de intrusao com sucesso;menor_melhor;RL-07;2;5;P.TEC.CAN;DISC_CYBER;qtd;Tentativas de intrusao com sucesso;0;Area de RO;Sistema interno;mensal
KRI-04;Alertas PLD nao tratados no prazo;menor_melhor;RL-13;5;10;P.OPE.CAD;DISC_LD;%;Alertas PLD nao tratados no prazo;2;Area de RO;Sistema interno;mensal
KRI-05;Disponibilidade do core banking;maior_melhor;RL-09;99.5;99.0;P.TEC.COR;DISC_BIA;%;Disponibilidade do core banking;99.9;Area de RO;Sistema interno;mensal
KRI-06;Reclamacoes de venda inadequada;menor_melhor;RL-12;20;40;P.NEG.VEN;DISC_CONDUTA;qtd;Reclamacoes de venda inadequada;10;Area de RO;Sistema interno;mensal
KRI-07;Incidentes de vazamento de dados;menor_melhor;RL-14;1;3;P.CIN.LGP;DISC_LGPD;qtd;Incidentes de vazamento de dados;0;Area de RO;Sistema interno;mensal
KRI-08;Perdas operacionais (R$ mil);menor_melhor;RL-06;200;500;P.OPE.LIQ;DISC_OPERACIONAL;R$mil;Perdas operacionais (R$ mil);100;Area de RO;Sistema interno;mensal
KRI-09;VaR utilizado vs limite;menor_melhor;RL-02;70;90;P.TES.MES;DISC_MERCADO;%;VaR utilizado vs limite;50;Area de RO;Sistema interno;mensal
KRI-10;Gap de liquidez 30d;maior_melhor;RL-03;110;100;P.TES.ALM;DISC_LIQUIDEZ;%;Gap de liquidez 30d;130;Area de RO;Sistema interno;mensal
KRI-11;Fraude externa (R$ mil);menor_melhor;RL-16;150;400;P.TEC.CAN;DISC_FRAUDE;R$mil;Fraude externa (R$ mil);80;Area de RO;Sistema interno;mensal
KRI-12;Apontamentos vencidos;menor_melhor;RL-11;3;8;P.CIN.CON;DISC_CONFORMIDADE;qtd;Apontamentos vencidos;0;Area de RO;Sistema interno;mensal
KRI-13;Cobertura de testes de controle;maior_melhor;RL-06;70;50;P.CIN.CTI;DISC_OPERACIONAL;%;Cobertura de testes de controle;90;Area de RO;Sistema interno;mensal
KRI-14;SLA de fornecedor critico;maior_melhor;RL-10;95;90;P.TEC.INF;DISC_FORNECEDORES;%;SLA de fornecedor critico;99;Area de RO;Sistema interno;mensal
KRI-15;Acuracia do modelo de credito;maior_melhor;RL-08;75;70;P.CRE.PF;DISC_MODELO;%;Acuracia do modelo de credito;85;Area de RO;Sistema interno;mensal
KRI-16;Exposicao cambial liquida;menor_melhor;RL-05;10;20;P.OPE.CAM;DISC_MERCADO;%;Exposicao cambial liquida;5;Area de RO;Sistema interno;mensal
