id;dominio;termo_local;termo_local_id;canonico_id;confianca_ia;metodo;justificativa;status;aprovado_por;data_revisao;notas
MAP-001;risco;Inadimplencia e perda de credito;RL-01;R0.U.1;alta;similaridade;Inadimplencia e perda de credito -> R0.U.1;aprovado;Equipe RO;2026-01-15;
MAP-002;risco;Risco de mercado da carteira;RL-02;R0.U.2;media;similaridade;Risco de mercado da carteira -> R0.U.2;aprovado;Equipe RO;2026-01-15;
MAP-003;risco;Descasamento e risco de liquidez;RL-03;R0.U.3;alta;similaridade;Descasamento e risco de liquidez -> R0.U.3;aprovado;Equipe RO;2026-01-15;
MAP-004;risco;Risco de juros da carteira banking;RL-04;R0.U.4;media;similaridade;Risco de juros da carteira banking -> R0.U.4;aprovado;Equipe RO;2026-01-15;
MAP-005;risco;Exposicao cambial;RL-05;R0.U.5;alta;similaridade;Exposicao cambial -> R0.U.5;aprovado;Equipe RO;2026-01-15;
MAP-006;risco;Falha operacional de processamento;RL-06;R0.U.6;alta;similaridade;Falha operacional de processamento -> R0.U.6;aprovado;Equipe RO;2026-01-15;
MAP-007;risco;Risco de Invasao Digital;RL-07;R0.U.7;media;similaridade;Risco de Invasao Digital -> R0.U.7;aprovado;Equipe RO;2026-01-15;
MAP-008;risco;Erro de modelo de credito;RL-08;R0.U.8;alta;similaridade;Erro de modelo de credito -> R0.U.8;aprovado;Equipe RO;2026-01-15;
MAP-009;risco;Indisponibilidade de sistemas;RL-09;R0.U.9;alta;similaridade;Indisponibilidade de sistemas -> R0.U.9;aprovado;Equipe RO;2026-01-15;
MAP-010;risco;Falha de fornecedor critico;RL-10;R0.U.10;alta;similaridade;Falha de fornecedor critico -> R0.U.10;aprovado;Equipe RO;2026-01-15;
MAP-011;risco;Nao conformidade regulatoria;RL-11;R0.U.11;alta;similaridade;Nao conformidade regulatoria -> R0.U.11;aprovado;Equipe RO;2026-01-15;
MAP-012;risco;Venda inadequada ao cliente;RL-12;R0.U.12;alta;similaridade;Venda inadequada ao cliente -> R0.U.12;aprovado;Equipe RO;2026-01-15;
MAP-013;risco;Lavagem de dinheiro;RL-13;R0.U.13;alta;similaridade;Lavagem de dinheiro -> R0.U.13;aprovado;Equipe RO;2026-01-15;
MAP-014;risco;Vazamento de dados pessoais;RL-14;R0.U.14;alta;similaridade;Vazamento de dados pessoais -> R0.U.14;aprovado;Equipe RO;2026-01-15;
MAP-015;risco;Dano reputacional;RL-15;R0.U.15;alta;similaridade;Dano reputacional -> R0.U.15;aprovado;Equipe RO;2026-01-15;
MAP-016;risco;Fraude externa em canais;RL-16;R0.U.6;alta;similaridade;Fraude externa em canais -> R0.U.6;aprovado;Equipe RO;2026-01-15;
MAP-017;risco;Fraude interna;RL-17;R0.U.6;alta;similaridade;Fraude interna -> R0.U.6;aprovado;Equipe RO;2026-01-15;
MAP-018;organizacao;Diretoria Varejo Mais;AL-VAR;ORG.NEG.VAR;alta;similaridade;Diretoria Varejo Mais -> ORG.NEG.VAR;aprovado;Equipe RO;2026-01-15;
MAP-019;organizacao;Segmento Diamante;AL-DIA;ORG.NEG.ALT;alta;similaridade;Segmento Diamante -> ORG.NEG.ALT;aprovado;Equipe RO;2026-01-15;
MAP-020;organizacao;Empresas e Negocios;AL-EMP;ORG.NEG.EMP;alta;similaridade;Empresas e Negocios -> ORG.NEG.EMP;aprovado;Equipe RO;2026-01-15;
MAP-021;organizacao;Credito Pessoa Fisica;AL-CPF;ORG.CRE.CPF;alta;similaridade;Credito Pessoa Fisica -> ORG.CRE.CPF;aprovado;Equipe RO;2026-01-15;
MAP-022;organizacao;Credito Pessoa Juridica;AL-CPJ;ORG.CRE.CPJ;alta;similaridade;Credito Pessoa Juridica -> ORG.CRE.CPJ;aprovado;Equipe RO;2026-01-15;
MAP-023;organizacao;Recuperacao e Cobranca;AL-COB;ORG.CRE.REC;alta;similaridade;Recuperacao e Cobranca -> ORG.CRE.REC;aprovado;Equipe RO;2026-01-15;
MAP-024;organizacao;Central de Cadastro;AL-CAD;ORG.OPE.CAD;alta;similaridade;Central de Cadastro -> ORG.OPE.CAD;aprovado;Equipe RO;2026-01-15;
MAP-025;organizacao;Mesa de Cambio;AL-CAM;ORG.OPE.CAM;alta;similaridade;Mesa de Cambio -> ORG.OPE.CAM;aprovado;Equipe RO;2026-01-15;
MAP-026;organizacao;Tesouraria;AL-TES;ORG.TES.ALM;alta;similaridade;Tesouraria -> ORG.TES.ALM;aprovado;Equipe RO;2026-01-15;
MAP-027;organizacao;TI Core Banking;AL-CORE;ORG.TEC.COR;alta;similaridade;TI Core Banking -> ORG.TEC.COR;aprovado;Equipe RO;2026-01-15;
MAP-028;organizacao;Nucleo Cyber;AL-CYBER;ORG.TEC.SI;alta;similaridade;Nucleo Cyber -> ORG.TEC.SI;aprovado;Equipe RO;2026-01-15;
MAP-029;organizacao;Infraestrutura de TI;AL-INFRA;ORG.TEC.INF;alta;similaridade;Infraestrutura de TI -> ORG.TEC.INF;aprovado;Equipe RO;2026-01-15;
MAP-030;organizacao;DICOI;AL-DICOI;ORG.CIN.CTI;media;llm;DICOI -> ORG.CIN.CTI;aprovado;Equipe RO;2026-01-15;
MAP-031;organizacao;DPLD;AL-DPLD;ORG.CIN.PLD;media;llm;DPLD -> ORG.CIN.PLD;aprovado;Equipe RO;2026-01-15;
MAP-032;organizacao;Compliance Regulatorio;AL-COMPL;ORG.CIN.COM;alta;similaridade;Compliance Regulatorio -> ORG.CIN.COM;aprovado;Equipe RO;2026-01-15;
MAP-033;organizacao;Encarregado de Dados (DPO);AL-LGPD;ORG.CIN.LGP;alta;similaridade;Encarregado de Dados (DPO) -> ORG.CIN.LGP;aprovado;Equipe RO;2026-01-15;
MAP-034;organizacao;Risco Operacional;AL-RISCO;ORG.RIS.OPE;alta;similaridade;Risco Operacional -> ORG.RIS.OPE;aprovado;Equipe RO;2026-01-15;
MAP-035;organizacao;Risco de Credito;AL-RCRED;ORG.RIS.CRE;alta;similaridade;Risco de Credito -> ORG.RIS.CRE;aprovado;Equipe RO;2026-01-15;
MAP-036;organizacao;Auditoria Interna;AL-AUDIT;ORG.AUD.NEG;alta;similaridade;Auditoria Interna -> ORG.AUD.NEG;aprovado;Equipe RO;2026-01-15;
MAP-037;organizacao;Ouvidoria;AL-OUVID;ORG.OUV.OUV;alta;similaridade;Ouvidoria -> ORG.OUV.OUV;aprovado;Equipe RO;2026-01-15;
